[2025-06-24T17:04:38.685Z] Starting Udemy Advanced Course Finder fetch...
[2025-06-24T17:04:38.689Z] Fetching free South African courses...
[2025-06-24T17:05:19.676Z] Stored new course: Master of Science in Computer Science (21174)
[2025-06-24T17:05:19.849Z] Course 21072 already exists, skipping.
[2025-06-24T17:05:19.850Z] Course 21069 already exists, skipping.
[2025-06-24T17:05:19.854Z] Course 21066 already exists, skipping.
[2025-06-24T17:05:19.857Z] Course 21063 already exists, skipping.
[2025-06-24T17:05:19.858Z] Course 21079 already exists, skipping.
[2025-06-24T17:05:19.859Z] Course 21076 already exists, skipping.
[2025-06-24T17:05:19.861Z] Course 21073 already exists, skipping.
[2025-06-24T17:05:19.862Z] Course 21070 already exists, skipping.
[2025-06-24T17:05:19.863Z] Course 21067 already exists, skipping.
[2025-06-24T17:05:19.866Z] Course 21080 already exists, skipping.
[2025-06-24T17:05:19.867Z] Course 21064 already exists, skipping.
[2025-06-24T17:05:19.869Z] Course 21061 already exists, skipping.
[2025-06-24T17:05:19.871Z] Course 21077 already exists, skipping.
[2025-06-24T17:05:19.872Z] Course 21074 already exists, skipping.
[2025-06-24T17:05:19.873Z] Course 21071 already exists, skipping.
[2025-06-24T17:05:19.874Z] Course 21068 already exists, skipping.
[2025-06-24T17:05:19.876Z] Course 21081 already exists, skipping.
[2025-06-24T17:05:19.879Z] Course 21065 already exists, skipping.
[2025-06-24T17:05:19.881Z] Course 21062 already exists, skipping.
[2025-06-24T17:05:19.882Z] Course 21078 already exists, skipping.
[2025-06-24T17:05:19.883Z] Course 21043 already exists, skipping.
[2025-06-24T17:05:19.884Z] Course 21059 already exists, skipping.
[2025-06-24T17:05:19.888Z] Course 21040 already exists, skipping.
[2025-06-24T17:05:19.889Z] Course 21056 already exists, skipping.
[2025-06-24T17:05:19.890Z] Course 21053 already exists, skipping.
[2025-06-24T17:05:19.891Z] Course 21050 already exists, skipping.
[2025-06-24T17:05:19.892Z] Course 21047 already exists, skipping.
[2025-06-24T17:05:19.894Z] Course 21060 already exists, skipping.
[2025-06-24T17:05:19.896Z] Course 21044 already exists, skipping.
[2025-06-24T17:05:19.897Z] Course 21041 already exists, skipping.
[2025-06-24T17:05:19.898Z] Course 21057 already exists, skipping.
[2025-06-24T17:05:19.899Z] Course 21054 already exists, skipping.
[2025-06-24T17:05:19.900Z] Course 21038 already exists, skipping.
[2025-06-24T17:05:19.901Z] Course 21051 already exists, skipping.
[2025-06-24T17:05:19.904Z] Course 21048 already exists, skipping.
[2025-06-24T17:05:19.905Z] Course 21045 already exists, skipping.
[2025-06-24T17:05:19.906Z] Course 21042 already exists, skipping.
[2025-06-24T17:05:19.907Z] Course 21058 already exists, skipping.
[2025-06-24T17:05:19.910Z] Course 21039 already exists, skipping.
[2025-06-24T17:05:19.911Z] Course 21055 already exists, skipping.
[2025-06-24T17:05:19.913Z] Course 21052 already exists, skipping.
[2025-06-24T17:05:19.914Z] Course 21049 already exists, skipping.
[2025-06-24T17:05:19.915Z] Course 21046 already exists, skipping.
[2025-06-24T17:05:19.916Z] Course 21037 already exists, skipping.
[2025-06-24T17:05:19.917Z] Course 21034 already exists, skipping.
[2025-06-24T17:05:19.921Z] Course 21031 already exists, skipping.
[2025-06-24T17:05:19.922Z] Course 21035 already exists, skipping.
[2025-06-24T17:05:19.923Z] Course 21032 already exists, skipping.
[2025-06-24T17:05:19.925Z] Course 21036 already exists, skipping.
[2025-06-24T17:05:19.926Z] Course 21033 already exists, skipping.
[2025-06-24T17:05:19.928Z] Course 21030 already exists, skipping.
[2025-06-24T17:05:19.929Z] Course 21028 already exists, skipping.
[2025-06-24T17:05:19.930Z] Course 21025 already exists, skipping.
[2025-06-24T17:05:19.931Z] Course 21029 already exists, skipping.
[2025-06-24T17:05:19.933Z] Course 21026 already exists, skipping.
[2025-06-24T17:05:19.934Z] Course 21027 already exists, skipping.
[2025-06-24T17:05:19.936Z] Course 21024 already exists, skipping.
[2025-06-24T17:05:19.937Z] Course 21015 already exists, skipping.
[2025-06-24T17:05:19.938Z] Course 21012 already exists, skipping.
[2025-06-24T17:05:19.940Z] Course 21009 already exists, skipping.
[2025-06-24T17:05:19.942Z] Course 21022 already exists, skipping.
[2025-06-24T17:05:19.943Z] Course 21006 already exists, skipping.
[2025-06-24T17:05:19.945Z] Course 21019 already exists, skipping.
[2025-06-24T17:05:19.948Z] Course 21016 already exists, skipping.
[2025-06-24T17:05:19.949Z] Course 21013 already exists, skipping.
[2025-06-24T17:05:19.953Z] Course 21010 already exists, skipping.
[2025-06-24T17:05:19.955Z] Course 21023 already exists, skipping.
[2025-06-24T17:05:19.957Z] Course 21007 already exists, skipping.
[2025-06-24T17:05:19.958Z] Course 21020 already exists, skipping.
[2025-06-24T17:05:19.959Z] Course 21017 already exists, skipping.
[2025-06-24T17:05:19.961Z] Course 21014 already exists, skipping.
[2025-06-24T17:05:19.963Z] Course 21011 already exists, skipping.
[2025-06-24T17:05:19.964Z] Course 21008 already exists, skipping.
[2025-06-24T17:05:19.965Z] Course 21021 already exists, skipping.
[2025-06-24T17:05:19.966Z] Course 21018 already exists, skipping.
[2025-06-24T17:05:19.969Z] Course 20999 already exists, skipping.
[2025-06-24T17:05:19.970Z] Course 21003 already exists, skipping.
[2025-06-24T17:05:19.972Z] Course 21000 already exists, skipping.
[2025-06-24T17:05:19.974Z] Course 21004 already exists, skipping.
[2025-06-24T17:05:19.976Z] Course 21001 already exists, skipping.
[2025-06-24T17:05:19.979Z] Course 20998 already exists, skipping.
[2025-06-24T17:05:19.980Z] Course 21005 already exists, skipping.
[2025-06-24T17:05:19.982Z] Course 21002 already exists, skipping.
[2025-06-24T17:05:19.983Z] Course 20997 already exists, skipping.
[2025-06-24T17:05:19.984Z] Course 20996 already exists, skipping.
[2025-06-24T17:05:19.987Z] Course 20995 already exists, skipping.
[2025-06-24T17:05:19.989Z] Course 20994 already exists, skipping.
[2025-06-24T17:05:19.990Z] Course 20993 already exists, skipping.
[2025-06-24T17:05:19.991Z] Course 20992 already exists, skipping.
[2025-06-24T17:05:19.992Z] Course 20991 already exists, skipping.
[2025-06-24T17:05:19.993Z] Course 20990 already exists, skipping.
[2025-06-24T17:05:19.995Z] Course 20989 already exists, skipping.
[2025-06-24T17:05:19.996Z] Course 20988 already exists, skipping.
[2025-06-24T17:05:19.997Z] Course 20987 already exists, skipping.
[2025-06-24T17:05:19.998Z] Course 20986 already exists, skipping.
[2025-06-24T17:05:19.999Z] Course 20985 already exists, skipping.
[2025-06-24T17:05:20.000Z] Course 20984 already exists, skipping.
[2025-06-24T17:05:20.003Z] Course 20983 already exists, skipping.
[2025-06-24T17:05:20.005Z] Course 20982 already exists, skipping.
[2025-06-24T17:05:20.006Z] Course 20981 already exists, skipping.
[2025-06-24T17:05:20.007Z] Course 20980 already exists, skipping.
[2025-06-24T17:05:20.008Z] Course 20979 already exists, skipping.
[2025-06-24T17:05:20.010Z] Course 20976 already exists, skipping.
[2025-06-24T17:05:20.013Z] Course 20973 already exists, skipping.
[2025-06-24T17:05:20.014Z] Course 20970 already exists, skipping.
[2025-06-24T17:05:20.015Z] Course 20977 already exists, skipping.
[2025-06-24T17:05:20.016Z] Course 20974 already exists, skipping.
[2025-06-24T17:05:20.017Z] Course 20971 already exists, skipping.
[2025-06-24T17:05:20.021Z] Course 20968 already exists, skipping.
[2025-06-24T17:05:20.023Z] Course 20978 already exists, skipping.
[2025-06-24T17:05:20.024Z] Course 20975 already exists, skipping.
[2025-06-24T17:05:20.025Z] Course 20972 already exists, skipping.
[2025-06-24T17:05:20.027Z] Course 20969 already exists, skipping.
[2025-06-24T17:05:20.027Z] Course 20967 already exists, skipping.
[2025-06-24T17:05:20.028Z] Course 20964 already exists, skipping.
[2025-06-24T17:05:20.030Z] Course 20961 already exists, skipping.
[2025-06-24T17:05:20.031Z] Course 20958 already exists, skipping.
[2025-06-24T17:05:20.033Z] Course 20955 already exists, skipping.
[2025-06-24T17:05:20.034Z] Course 20965 already exists, skipping.
[2025-06-24T17:05:20.038Z] Course 20962 already exists, skipping.
[2025-06-24T17:05:20.039Z] Course 20959 already exists, skipping.
[2025-06-24T17:05:20.040Z] Course 20956 already exists, skipping.
[2025-06-24T17:05:20.041Z] Course 20953 already exists, skipping.
[2025-06-24T17:05:20.042Z] Course 20966 already exists, skipping.
[2025-06-24T17:05:20.043Z] Course 20963 already exists, skipping.
[2025-06-24T17:05:20.044Z] Course 20960 already exists, skipping.
[2025-06-24T17:05:20.047Z] Course 20957 already exists, skipping.
[2025-06-24T17:05:20.048Z] Course 20954 already exists, skipping.
[2025-06-24T17:05:20.049Z] Course 20948 already exists, skipping.
[2025-06-24T17:05:20.051Z] Course 20945 already exists, skipping.
[2025-06-24T17:05:20.053Z] Course 20942 already exists, skipping.
[2025-06-24T17:05:20.055Z] Course 20939 already exists, skipping.
[2025-06-24T17:05:20.056Z] Course 20952 already exists, skipping.
[2025-06-24T17:05:20.057Z] Course 20949 already exists, skipping.
[2025-06-24T17:05:20.058Z] Course 20946 already exists, skipping.
[2025-06-24T17:05:20.060Z] Course 20943 already exists, skipping.
[2025-06-24T17:05:20.062Z] Course 20940 already exists, skipping.
[2025-06-24T17:05:20.063Z] Course 20937 already exists, skipping.
[2025-06-24T17:05:20.064Z] Course 20950 already exists, skipping.
[2025-06-24T17:05:20.065Z] Course 20947 already exists, skipping.
[2025-06-24T17:05:20.071Z] Course 20944 already exists, skipping.
[2025-06-24T17:05:20.073Z] Course 20941 already exists, skipping.
[2025-06-24T17:05:20.074Z] Course 20938 already exists, skipping.
[2025-06-24T17:05:20.075Z] Course 20951 already exists, skipping.
[2025-06-24T17:05:20.077Z] Course 20936 already exists, skipping.
[2025-06-24T17:05:20.078Z] Course 20935 already exists, skipping.
