[2025-07-07T17:18:06.410Z] Starting Udemy Advanced Course Finder fetch...
[2025-07-07T17:18:06.416Z] Fetching free South African courses...
[2025-07-07T17:18:33.774Z] Course 21072 already exists, skipping.
[2025-07-07T17:18:33.776Z] Course 21069 already exists, skipping.
[2025-07-07T17:18:33.778Z] Course 21066 already exists, skipping.
[2025-07-07T17:18:33.780Z] Course 21063 already exists, skipping.
[2025-07-07T17:18:33.781Z] Course 21079 already exists, skipping.
[2025-07-07T17:18:33.784Z] Course 21076 already exists, skipping.
[2025-07-07T17:18:33.786Z] Course 21073 already exists, skipping.
[2025-07-07T17:18:33.790Z] Course 21070 already exists, skipping.
[2025-07-07T17:18:33.794Z] Course 21067 already exists, skipping.
[2025-07-07T17:18:33.796Z] Course 21080 already exists, skipping.
[2025-07-07T17:18:33.798Z] Course 21064 already exists, skipping.
[2025-07-07T17:18:33.801Z] Course 21061 already exists, skipping.
[2025-07-07T17:18:33.805Z] Course 21077 already exists, skipping.
[2025-07-07T17:18:33.809Z] Course 21074 already exists, skipping.
[2025-07-07T17:18:33.811Z] Course 21071 already exists, skipping.
[2025-07-07T17:18:33.812Z] Course 21068 already exists, skipping.
[2025-07-07T17:18:33.814Z] Course 21081 already exists, skipping.
[2025-07-07T17:18:33.816Z] Course 21065 already exists, skipping.
[2025-07-07T17:18:33.819Z] Course 21062 already exists, skipping.
[2025-07-07T17:18:33.823Z] Course 21078 already exists, skipping.
[2025-07-07T17:18:33.826Z] Course 21043 already exists, skipping.
[2025-07-07T17:18:33.827Z] Course 21059 already exists, skipping.
[2025-07-07T17:18:33.829Z] Course 21040 already exists, skipping.
[2025-07-07T17:18:33.830Z] Course 21056 already exists, skipping.
[2025-07-07T17:18:33.832Z] Course 21053 already exists, skipping.
[2025-07-07T17:18:33.835Z] Course 21050 already exists, skipping.
[2025-07-07T17:18:33.837Z] Course 21047 already exists, skipping.
[2025-07-07T17:18:33.841Z] Course 21060 already exists, skipping.
[2025-07-07T17:18:33.843Z] Course 21044 already exists, skipping.
[2025-07-07T17:18:33.845Z] Course 21041 already exists, skipping.
[2025-07-07T17:18:33.847Z] Course 21057 already exists, skipping.
[2025-07-07T17:18:33.848Z] Course 21054 already exists, skipping.
[2025-07-07T17:18:33.850Z] Course 21038 already exists, skipping.
[2025-07-07T17:18:33.853Z] Course 21051 already exists, skipping.
[2025-07-07T17:18:33.858Z] Course 21048 already exists, skipping.
[2025-07-07T17:18:33.860Z] Course 21045 already exists, skipping.
[2025-07-07T17:18:33.862Z] Course 21042 already exists, skipping.
[2025-07-07T17:18:33.863Z] Course 21058 already exists, skipping.
[2025-07-07T17:18:33.864Z] Course 21039 already exists, skipping.
[2025-07-07T17:18:33.866Z] Course 21055 already exists, skipping.
[2025-07-07T17:18:33.868Z] Course 21052 already exists, skipping.
[2025-07-07T17:18:33.870Z] Course 21049 already exists, skipping.
[2025-07-07T17:18:33.872Z] Course 21046 already exists, skipping.
[2025-07-07T17:18:33.876Z] Course 21037 already exists, skipping.
[2025-07-07T17:18:33.879Z] Course 21034 already exists, skipping.
[2025-07-07T17:18:33.881Z] Course 21031 already exists, skipping.
[2025-07-07T17:18:33.883Z] Course 21035 already exists, skipping.
[2025-07-07T17:18:33.885Z] Course 21032 already exists, skipping.
[2025-07-07T17:18:33.888Z] Course 21036 already exists, skipping.
[2025-07-07T17:18:33.892Z] Course 21033 already exists, skipping.
[2025-07-07T17:18:33.894Z] Course 21030 already exists, skipping.
[2025-07-07T17:18:33.895Z] Course 21028 already exists, skipping.
[2025-07-07T17:18:33.897Z] Course 21025 already exists, skipping.
[2025-07-07T17:18:33.898Z] Course 21029 already exists, skipping.
[2025-07-07T17:18:33.902Z] Course 21026 already exists, skipping.
[2025-07-07T17:18:33.904Z] Course 21027 already exists, skipping.
[2025-07-07T17:18:33.905Z] Course 21024 already exists, skipping.
[2025-07-07T17:18:33.910Z] Course 21015 already exists, skipping.
[2025-07-07T17:18:33.913Z] Course 21012 already exists, skipping.
[2025-07-07T17:18:33.914Z] Course 21009 already exists, skipping.
[2025-07-07T17:18:33.917Z] Course 21022 already exists, skipping.
[2025-07-07T17:18:33.920Z] Course 21006 already exists, skipping.
[2025-07-07T17:18:33.924Z] Course 21019 already exists, skipping.
[2025-07-07T17:18:33.927Z] Course 21016 already exists, skipping.
[2025-07-07T17:18:33.929Z] Course 21013 already exists, skipping.
[2025-07-07T17:18:33.930Z] Course 21010 already exists, skipping.
[2025-07-07T17:18:33.934Z] Course 21023 already exists, skipping.
[2025-07-07T17:18:33.939Z] Course 21007 already exists, skipping.
[2025-07-07T17:18:33.942Z] Course 21020 already exists, skipping.
[2025-07-07T17:18:33.945Z] Course 21017 already exists, skipping.
[2025-07-07T17:18:33.946Z] Course 21014 already exists, skipping.
[2025-07-07T17:18:33.948Z] Course 21011 already exists, skipping.
[2025-07-07T17:18:33.951Z] Course 21008 already exists, skipping.
[2025-07-07T17:18:33.952Z] Course 21021 already exists, skipping.
[2025-07-07T17:18:33.954Z] Course 21018 already exists, skipping.
[2025-07-07T17:18:33.957Z] Course 20999 already exists, skipping.
[2025-07-07T17:18:33.960Z] Course 21003 already exists, skipping.
[2025-07-07T17:18:33.962Z] Course 21000 already exists, skipping.
[2025-07-07T17:18:33.963Z] Course 21004 already exists, skipping.
[2025-07-07T17:18:33.966Z] Course 21001 already exists, skipping.
[2025-07-07T17:18:33.969Z] Course 20998 already exists, skipping.
[2025-07-07T17:18:33.973Z] Course 21005 already exists, skipping.
[2025-07-07T17:18:33.976Z] Course 21002 already exists, skipping.
[2025-07-07T17:18:33.977Z] Course 20997 already exists, skipping.
[2025-07-07T17:18:33.979Z] Course 20996 already exists, skipping.
[2025-07-07T17:18:33.980Z] Course 20995 already exists, skipping.
[2025-07-07T17:18:33.985Z] Course 20994 already exists, skipping.
[2025-07-07T17:18:33.987Z] Course 20993 already exists, skipping.
[2025-07-07T17:18:33.989Z] Course 20992 already exists, skipping.
[2025-07-07T17:18:33.991Z] Course 20991 already exists, skipping.
[2025-07-07T17:18:33.997Z] Course 20990 already exists, skipping.
[2025-07-07T17:18:34.003Z] Course 20989 already exists, skipping.
[2025-07-07T17:18:34.008Z] Course 20988 already exists, skipping.
[2025-07-07T17:18:34.010Z] Course 20987 already exists, skipping.
[2025-07-07T17:18:34.012Z] Course 20986 already exists, skipping.
[2025-07-07T17:18:34.013Z] Course 20985 already exists, skipping.
[2025-07-07T17:18:34.014Z] Course 20984 already exists, skipping.
[2025-07-07T17:18:34.017Z] Course 20983 already exists, skipping.
[2025-07-07T17:18:34.019Z] Course 20982 already exists, skipping.
[2025-07-07T17:18:34.024Z] Course 20981 already exists, skipping.
[2025-07-07T17:18:34.026Z] Course 20980 already exists, skipping.
[2025-07-07T17:18:34.028Z] Course 20979 already exists, skipping.
[2025-07-07T17:18:34.029Z] Course 20976 already exists, skipping.
[2025-07-07T17:18:34.031Z] Course 20973 already exists, skipping.
[2025-07-07T17:18:34.033Z] Course 20970 already exists, skipping.
[2025-07-07T17:18:34.037Z] Course 20977 already exists, skipping.
[2025-07-07T17:18:34.041Z] Course 20974 already exists, skipping.
[2025-07-07T17:18:34.043Z] Course 20971 already exists, skipping.
[2025-07-07T17:18:34.044Z] Course 20968 already exists, skipping.
[2025-07-07T17:18:34.046Z] Course 20978 already exists, skipping.
[2025-07-07T17:18:34.047Z] Course 20975 already exists, skipping.
[2025-07-07T17:18:34.049Z] Course 20972 already exists, skipping.
[2025-07-07T17:18:34.052Z] Course 20969 already exists, skipping.
[2025-07-07T17:18:34.054Z] Course 20967 already exists, skipping.
[2025-07-07T17:18:34.059Z] Course 20964 already exists, skipping.
[2025-07-07T17:18:34.061Z] Course 20961 already exists, skipping.
[2025-07-07T17:18:34.063Z] Course 20958 already exists, skipping.
[2025-07-07T17:18:34.064Z] Course 20955 already exists, skipping.
[2025-07-07T17:18:34.066Z] Course 20965 already exists, skipping.
[2025-07-07T17:18:34.069Z] Course 20962 already exists, skipping.
[2025-07-07T17:18:34.075Z] Course 20959 already exists, skipping.
[2025-07-07T17:18:34.077Z] Course 20956 already exists, skipping.
[2025-07-07T17:18:34.079Z] Course 20953 already exists, skipping.
[2025-07-07T17:18:34.080Z] Course 20966 already exists, skipping.
[2025-07-07T17:18:34.081Z] Course 20963 already exists, skipping.
[2025-07-07T17:18:34.085Z] Course 20960 already exists, skipping.
[2025-07-07T17:18:34.087Z] Course 20957 already exists, skipping.
[2025-07-07T17:18:34.092Z] Course 20954 already exists, skipping.
[2025-07-07T17:18:34.094Z] Course 20948 already exists, skipping.
[2025-07-07T17:18:34.096Z] Course 20945 already exists, skipping.
[2025-07-07T17:18:34.097Z] Course 20942 already exists, skipping.
[2025-07-07T17:18:34.099Z] Course 20939 already exists, skipping.
[2025-07-07T17:18:34.102Z] Course 20952 already exists, skipping.
[2025-07-07T17:18:34.107Z] Course 20949 already exists, skipping.
[2025-07-07T17:18:34.109Z] Course 20946 already exists, skipping.
[2025-07-07T17:18:34.110Z] Course 20943 already exists, skipping.
[2025-07-07T17:18:34.112Z] Course 20940 already exists, skipping.
[2025-07-07T17:18:34.114Z] Course 20937 already exists, skipping.
[2025-07-07T17:18:34.116Z] Course 20950 already exists, skipping.
[2025-07-07T17:18:34.118Z] Course 20947 already exists, skipping.
[2025-07-07T17:18:34.120Z] Course 20944 already exists, skipping.
[2025-07-07T17:18:34.124Z] Course 20941 already exists, skipping.
[2025-07-07T17:18:34.127Z] Course 20938 already exists, skipping.
[2025-07-07T17:18:34.129Z] Course 20951 already exists, skipping.
[2025-07-07T17:18:34.130Z] Course 20936 already exists, skipping.
[2025-07-07T17:18:34.131Z] Course 20935 already exists, skipping.
[2025-07-07T17:18:34.135Z] Course 20932 already exists, skipping.
[2025-07-07T17:18:34.140Z] Course 20933 already exists, skipping.
[2025-07-07T17:18:34.143Z] Course 20934 already exists, skipping.
[2025-07-07T17:18:34.145Z] Course 20931 already exists, skipping.
[2025-07-07T17:18:34.146Z] Course 20916 already exists, skipping.
[2025-07-07T17:18:34.148Z] Course 20929 already exists, skipping.
[2025-07-07T17:18:34.150Z] Course 20913 already exists, skipping.
[2025-07-07T17:18:34.153Z] Course 20926 already exists, skipping.
[2025-07-07T17:18:34.159Z] Course 20910 already exists, skipping.
[2025-07-07T17:18:34.161Z] Course 20923 already exists, skipping.
[2025-07-07T17:18:34.162Z] Course 20920 already exists, skipping.
[2025-07-07T17:18:34.164Z] Course 20917 already exists, skipping.
[2025-07-07T17:18:34.166Z] Course 20914 already exists, skipping.
[2025-07-07T17:18:34.169Z] Course 20930 already exists, skipping.
[2025-07-07T17:18:34.173Z] Course 20927 already exists, skipping.
[2025-07-07T17:18:34.176Z] Course 20911 already exists, skipping.
